E42 gate (ORIGINAL): base_quote_size 15 − 10, 20 seeds
regime     qty    delta    se      min      max bk_a bk_b
calm_dumb   10    +0.82  0.53    -1.82    +8.91    0    0
calm_dumb   30   +15.15  5.91   -43.24   +87.07    0    0
mixed       10    +0.16  0.20    -2.01    +2.67    0    0
mixed       30    +9.21  3.61   -10.34   +64.73    0    0
toxic       10    -0.12  0.35    -3.55    +5.39    0    0
toxic       30    +3.14  3.11    -8.79   +53.73    0    0
E48 gate (ORIGINAL): cp_mid_budget_floor 0.3 − off, 20 seeds
regime     qty    delta    se      min      max bk_a bk_b
calm_dumb   10    -1.12  1.54   -29.56    +6.97    0    0
calm_dumb   30   -14.63  7.03  -105.48    +6.61    0    0
mixed       10    +3.52  4.83   -35.18   +61.66    0    0
mixed       30    +5.17  3.82   -17.84   +47.10    0    0
toxic       10    -0.10  1.37   -19.57   +13.78    0    0
toxic       30    +2.83  1.22    -4.50   +15.45    0    0
E42 gate (PATCHED): base_quote_size 15 − 10, 20 seeds
regime     qty    delta    se      min      max bk_a bk_b
calm_dumb   10    +0.77  0.52    -1.95    +8.91    0    0
calm_dumb   30   +19.91  4.99    -1.95   +80.05    0    0
mixed       10    +0.12  0.22    -2.01    +3.29    0    0
mixed       30   +13.55  7.55   -20.20  +118.59    0    0
toxic       10    -0.17  0.36    -3.55    +5.39    0    0
toxic       30    +1.52  2.40    -7.73   +44.50    0    0
E48 gate (PATCHED): cp_mid_budget_floor 0.3 − off, 20 seeds
regime     qty    delta    se      min      max bk_a bk_b
calm_dumb   10    -0.46  0.64    -9.12    +6.02    0    0
calm_dumb   30    -2.26  5.58   -66.08   +61.59    0    0
mixed       10    +0.10  4.27   -52.09   +60.65    0    0
mixed       30    +3.73  4.51   -47.41   +48.01    0    0
toxic       10    -0.53  1.86   -31.36   +13.78    0    0
toxic       30    +1.81  1.58   -21.55   +15.38    0    0
